Business Name,Country,City,Industry,Website URL,Public Phone,Public Email,Address,Opportunity Score,Priority Level,Primary Recommended Service,Discovery Source,Source URL,Data Mode,Is Demo Data,Pipeline Stage
health centre,UAE,Dubai,Hospitals,Not Detected,,chcvatanappilly@gmail.com,"Dubai, UAE",83,HIGH,The Archer,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/7480357061,REAL_FREE,REAL DATA,NEW
Dubai,UAE,Dubai,Restaurants,Not Detected,,,"Dubai, UAE",88,HIGH,The Archer,OpenStreetMap / Overpass API,https://www.openstreetmap.org/way/480135127,REAL_FREE,REAL DATA,NEW
Karibbean Bistro,UAE,Dubai,Restaurants,Not Detected,,,"18-172, Calle 13, Dubai, UAE",88,HIGH,The Archer,OpenStreetMap / Overpass API,https://www.openstreetmap.org/way/184973720,REAL_FREE,REAL DATA,RESEARCHING
Crown Restaurant (Islamabad),Pakistan,Islamabad,Restaurants,http://crownrestaur.com,+92 51 2002916,contact@crownrestaurant.pk,"Blue Area, Islamabad, Pakistan",59,MEDIUM,Web Design,Demo Business Registry,,DEMO,DEMO DATA,NEW
Crescent Restaurant (Islamabad),Pakistan,Islamabad,Restaurants,Not Detected,+92 51 4008900,contact@crescentrestaur.pk,"Gulberg III, Islamabad, Pakistan",100,VERY_HIGH,The Archer,Demo Business Registry,,DEMO,DEMO DATA,NEW
Heritage Restaurant (Islamabad),Pakistan,Islamabad,Restaurants,http://heritagerest.com,+92 51 3280986,contact@heritagerestaur.pk,"University Road, Islamabad, Pakistan",59,MEDIUM,Web Design,Demo Business Registry,,DEMO,DEMO DATA,NEW
Apex Restaurant (Islamabad),Pakistan,Islamabad,Restaurants,Not Detected,+92 51 9249419,contact@apexrestauranti.pk,"Clifton Block 4, Islamabad, Pakistan",100,VERY_HIGH,The Archer,Demo Business Registry,,DEMO,DEMO DATA,NEW
Prime Restaurant (Islamabad),Pakistan,Islamabad,Restaurants,http://primerestaur.com,+92 51 7402886,contact@primerestaurant.pk,"Blue Area, Islamabad, Pakistan",59,MEDIUM,Web Design,Demo Business Registry,,DEMO,DEMO DATA,NEW
Metro Restaurant (Islamabad),Pakistan,Islamabad,Restaurants,Not Detected,+92 51 3081864,contact@metrorestaurant.pk,"University Road, Islamabad, Pakistan",100,VERY_HIGH,The Archer,Demo Business Registry,,DEMO,DEMO DATA,NEW
Grand Restaurant (Islamabad),Pakistan,Islamabad,Restaurants,http://grandrestaur.com,+92 51 5803316,contact@grandrestaurant.pk,"Clifton Block 4, Islamabad, Pakistan",59,MEDIUM,Web Design,Demo Business Registry,,DEMO,DEMO DATA,NEW
Royal Restaurant (Islamabad),Pakistan,Islamabad,Restaurants,Not Detected,+92 51 9631743,contact@royalrestaurant.pk,"Blue Area, Islamabad, Pakistan",100,VERY_HIGH,The Archer,Demo Business Registry,,DEMO,DEMO DATA,NEW
Margalla Spice & Grill House,Pakistan,Islamabad,Restaurants,Not Detected,+92 51 8472910,orders@margallaspice.pk,"F-7 Markaz, Islamabad, Pakistan",100,VERY_HIGH,The Archer,Demo Business Registry,,DEMO,DEMO DATA,NEW
