Business Name,Country,City,Industry,Website URL,Public Phone,Public Email,Address,Opportunity Score,Priority Level,Primary Recommended Service,Discovery Source,Source URL,Data Mode,Is Demo Data,Pipeline Stage
Beni's Barbers,UK,London,Salons,Not Detected,,,"5, Beeches Avenue, Carshalton, UK",83,HIGH,The Archer,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/269198293,REAL_FREE,REAL DATA,NEW
Hair Gallery,UK,London,Salons,Not Detected,,,"107, Stanley Park Road, Carshalton, UK",83,HIGH,The Archer,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/258016410,REAL_FREE,REAL DATA,NEW
Lushley So,UK,London,Salons,Not Detected,,,"152, Stanley Park Road, Carshalton, UK",83,HIGH,The Archer,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/258016404,REAL_FREE,REAL DATA,NEW
Sam's Barbers,UK,London,Salons,Not Detected,,,"148, Stanley Park Road, Carshalton, UK",83,HIGH,The Archer,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/258016401,REAL_FREE,REAL DATA,NEW
Estehair Medical,UK,London,Salons,https://www.estehairmedical.com/,,,"London, UK",37,LOW,SEO & Performance Optimization,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/256141206,REAL_FREE,REAL DATA,NEW
Dubai,UAE,Dubai,Restaurants,Not Detected,,,"Dubai, UAE",88,HIGH,The Archer,OpenStreetMap / Overpass API,https://www.openstreetmap.org/way/480135127,REAL_FREE,REAL DATA,NEW
Karibbean Bistro,UAE,Dubai,Restaurants,Not Detected,,,"18-172, Calle 13, Dubai, UAE",88,HIGH,The Archer,OpenStreetMap / Overpass API,https://www.openstreetmap.org/way/184973720,REAL_FREE,REAL DATA,NEW
Crown Restaurant (Islamabad),Pakistan,Islamabad,Restaurants,http://crownrestaur.com,+92 51 4486457,contact@crownrestaurant.pk,"University Road, Islamabad, Pakistan",59,MEDIUM,Web Design,Demo Business Registry,,DEMO,DEMO DATA,NEW
Crescent Restaurant (Islamabad),Pakistan,Islamabad,Restaurants,Not Detected,+92 51 3230822,contact@crescentrestaur.pk,"Blue Area, Islamabad, Pakistan",100,VERY_HIGH,The Archer,Demo Business Registry,,DEMO,DEMO DATA,NEW
Heritage Restaurant (Islamabad),Pakistan,Islamabad,Restaurants,http://heritagerest.com,+92 51 8134515,contact@heritagerestaur.pk,"Clifton Block 4, Islamabad, Pakistan",59,MEDIUM,Web Design,Demo Business Registry,,DEMO,DEMO DATA,NEW
Apex Restaurant (Islamabad),Pakistan,Islamabad,Restaurants,Not Detected,+92 51 8518771,contact@apexrestauranti.pk,"Sector F-10 Markaz, Islamabad, Pakistan",100,VERY_HIGH,The Archer,Demo Business Registry,,DEMO,DEMO DATA,NEW
Prime Restaurant (Islamabad),Pakistan,Islamabad,Restaurants,http://primerestaur.com,+92 51 4430730,contact@primerestaurant.pk,"Gulberg III, Islamabad, Pakistan",59,MEDIUM,Web Design,Demo Business Registry,,DEMO,DEMO DATA,NEW
Metro Restaurant (Islamabad),Pakistan,Islamabad,Restaurants,Not Detected,+92 51 7312071,contact@metrorestaurant.pk,"Gulberg III, Islamabad, Pakistan",100,VERY_HIGH,The Archer,Demo Business Registry,,DEMO,DEMO DATA,NEW
Grand Restaurant (Islamabad),Pakistan,Islamabad,Restaurants,http://grandrestaur.com,+92 51 4896749,contact@grandrestaurant.pk,"University Road, Islamabad, Pakistan",59,MEDIUM,Web Design,Demo Business Registry,,DEMO,DEMO DATA,NEW
Royal Restaurant (Islamabad),Pakistan,Islamabad,Restaurants,Not Detected,+92 51 6893280,contact@royalrestaurant.pk,"Blue Area, Islamabad, Pakistan",100,VERY_HIGH,The Archer,Demo Business Registry,,DEMO,DEMO DATA,NEW
Margalla Spice & Grill House,Pakistan,Islamabad,Restaurants,Not Detected,+92 51 8472910,orders@margallaspice.pk,"F-7 Markaz, Islamabad, Pakistan",100,VERY_HIGH,The Archer,Demo Business Registry,,DEMO,DEMO DATA,NEW
